Title,Artist,Album,Release Date,Peak Date,Peak Rank
Leisure,Blur,Leisure,8/26/91,9/7/91,7
Modern Life is Rubbish,Blur,Modern Life Is Rubbish,5/10/93,5/22/93,15
Parklife,Blur,Parklife,4/25/94,5/7/94,1
The Great Escape,Blur,The Great Escape,9/11/95,9/23/95,1
Blur,Blur,Blur,2/10/97,2/22/97,1
Bustin' + Dronin',Blur,Bustin' + Dronin',2/25/98,2/25/98,50
13,Blur,13,3/15/99,3/27/99,1
The Best Of,Blur,The Best Of,10/30/00,11/11/00,3
Think Tank,Blur,Think Tank,5/5/03,5/17/03,1
Midlife: A Beginner's Guide to Blur,Blur,Midlife: A Beginner's Guide to Blur,6/15/09,6/27/09,20
All the People: Blur Live at Hyde Park,Blur,All the People: Blur Live at Hyde Park,8/30/09,9/5/09,44
Parklive,Blur,Parklive,8/13/12,8/25/12,91
The Magic Whip,Blur,The Magic Whip,4/27/15,5/9/15,1
Non-Album,Blur,-,-,-,-
