Title,Artist,Album,Release Date,Peak Date,Peak Rank
She's So High,Blur,Leisure,10/15/90,11/3/90,48
There's No Other Way,Blur,Leisure,4/15/91,5/18/91,8
Bang,Blur,Leisure,7/29/91,8/17/91,24
Popscene,Blur,Non-Album,3/30/92,4/11/92,32
For Tomorrow,Blur,Modern Life Is Rubbish,4/19/93,5/1/93,28
Chemical World,Blur,Modern Life Is Rubbish,6/28/93,7/17/93,28
Sunday Sunday,Blur,Modern Life Is Rubbish,10/4/93,10/16/93,26
Girls & Boys,Blur,Parklife,3/7/94,3/19/94,5
To the End,Blur,Parklife,5/30/94,6/18/94,16
Parklife,Blur,Parklife,8/22/94,9/3/94,10
End of a Century,Blur,Parklife,11/7/94,11/19/94,19
Country House,Blur,The Great Escape,8/14/95,8/26/95,1
The Universal,Blur,The Great Escape,11/13/95,11/25/95,5
Stereotypes,Blur,The Great Escape,2/12/96,2/24/96,7
Charmless Man,Blur,The Great Escape,4/29/96,5/11/96,5
Beetlebum,Blur,Blur,1/20/97,2/1/97,1
Song 2,Blur,Blur,4/7/97,4/19/97,2
On Your Own,Blur,Blur,6/16/97,6/28/97,5
M.O.R.,Blur,Blur,9/15/97,9/27/97,15
Tender,Blur,13,2/22/99,3/6/99,2
Coffee & TV,Blur,13,6/28/99,7/10/99,11
No Distance Left to Run,Blur,13,11/15/99,11/27/99,14
Music Is My Radar,Blur,The Best Of,10/16/00,10/28/00,10
Out of Time,Blur,Think Tank,4/14/03,4/26/03,5
Crazy Beat,Blur,Think Tank,7/7/03,7/19/03,18
Good Song,Blur,Think Tank,10/6/03,10/18/03,22
Girls & Boys [live],Blur,All the People: Blur Live at Hyde Park,8/30/09,9/14/09,191
Under the Westway,Blur,Non-Album,7/2/12,7/14/12,34
Go Out,Blur,The Magic Whip,2/19/15,3/3/15,182
Lonesome Street,Blur,The Magic Whip,4/2/15,4/14/15,151
null,Blur,Bustin' + Dronin',null,null,null
null,Blur,Midlife: A Beginner's Guide to Blur,null,null,null
null,Blur,Parklive,null,null,null

