Name,Tenure Start,Tenure End,Position
Damon Albarn,12/1/1988,12/12/2003,Vocals
Graham Coxon,12/1/1988,8/1/2002,Guitar
Damon Albarn,6/13/2009,7/12/2009,Vocals
Damon Albarn,2/19/2012,11/29/2015,Vocals
Graham Coxon,6/13/2009,7/12/2009,Guitar
Graham Coxon,2/19/2012,11/29/2015,Guitar
Alex James,12/1/1988,12/12/2003,Bass
Dave Rowntree,12/1/1988,12/12/2003,Drums
Alex James,6/13/2009,7/12/2009,Bass
Dave Rowntree,6/13/2009,7/12/2009,Drums
Alex James,2/19/2012,11/29/2015,Bass
Dave Rowntree,2/19/2012,11/29/2015,Drums
