Song,Artist,Album,Release Date,Peak Date,Peak Rank
Smells Like Teen Spirit,Nirvana,Nevermind,9/10/91,1/10/92,6
Come As You Are,Nirvana,Nevermind,3/2/92,5/1/92,32
Lithium,Nirvana,Nevermind,7/13/92,8/14/92,64
You Know You're Right,Nirvana,Nevermind,10/8/02,11/23/02,45
Daughter,Pearl Jam,Vs.,11/2/93,1/8/94,97
Dissident,Pearl Jam,Vs.,5/6/94,7/28/95,118
Spin the Black Circle,Pearl Jam,Vitalogy,11/8/94,11/26/94,18
Not For You,Pearl Jam,Vitalogy,3/21/95,5/5/95,102
Immortality,Pearl Jam,Vitalogy,6/6/95,7/21/95,102
I Got Id,Pearl Jam,Merkin Ball,12/5/95,12/22/95,7
Who You Are,Pearl Jam,No Code,7/30/96,8/23/96,31
Given to Fly,Pearl Jam,Yield,12/22/97,1/30/98,21
Last Kiss,Pearl Jam,No Boundaries: A Benefit for the Kosovar Refugees,6/8/99,6/25/99,2
Nothing As it Seems,Pearl Jam,Binaural,4/25/00,5/12/00,49
I Am Mine,Pearl Jam,Riot Act,10/8/02,10/25/02,43
World Wide Suicide,Pearl Jam,Pearl Jam,3/14/06,3/31/06,41
Just Breathe,Pearl Jam,Backspacer,10/31/09,3/26/10,78
The Fixer,Pearl Jam,Backspacer,8/24/09,9/11/09,56
Sirens,Pearl Jam,Lightning Bolt,9/18/13,10/25/13,76
Kryptonite,3 Doors Down,The Better Life,1/11/00,11/10/00,3
Loser,3 Doors Down,The Better Life,7/29/00,12/1/00,55
Duck and Run,3 Doors Down,The Better Life,1/15/01,4/27/01,110
Be Like That,3 Doors Down,The Better Life,6/11/01,11/9/01,24
When I'm Gone,3 Doors Down,Away from the Sun,10/21/02,4/25/03,4
Here Without You,3 Doors Down,Away from the Sun,8/11/03,11/7/03,5
Check My Brain,Alice in Chains,Black Gives Way to Blue,8/14/09,10/17/09,92
Your Decision,Alice in Chains,Black Gives Way to Blue,11/16/09,3/19/10,109
Comedown,Bush,Sixteen Stone,9/26/95,11/4/95,30
Glycerine,Bush,Sixteen Stone,11/14/95,2/24/96,28
