Song,Artist,Album,Release Date,Peak Date,Peak Rank
Ceremony,New Order,Non-Album,1/1/81,3/21/81,34
Procession,New Order,Non-Album,9/1/81,10/17/81,38
Temptation,New Order,Non-Album,5/10/82,6/12/82,29
Blue Monday,New Order,Non-Album,3/7/83,10/15/83,9
Confusion,New Order,Non-Album,8/1/83,9/10/83,12
Thieves Like Us,New Order,Non-Album,4/1/84,5/5/84,18
Murder,New Order,Non-Album,5/1/84,5/26/84,92
The Perfect Kiss,New Order,Low-Life,5/13/85,5/25/85,46
Sub-culture,New Order,Low-Life,10/28/85,11/16/85,63
Shellshock,New Order,Non-Album,3/17/86,4/5/86,28
State of the Nation,New Order,Brotherhood,9/15/86,9/27/86,30
Bizarre Love Triangle,New Order,Brotherhood,11/3/86,11/15/86,56
True Faith,New Order,Substance,7/20/87,8/15/87,4
Touched by the Hand of God,New Order,Non-Album,12/7/87,12/26/87,20
Blue Monday '88,New Order,Non-Album,4/25/88,5/14/88,3
Fine Time,New Order,Technique,11/28/88,12/24/88,11
Round & Round,New Order,Technique,2/27/89,3/25/89,21
Run 2,New Order,Technique,8/28/89,9/9/89,49
World in Motion,New Order,Non-Album,5/21/90,6/9/90,1
Regret,New Order,Republic,4/5/93,4/24/93,4
Ruined in a Day,New Order,Republic,6/21/93,7/3/93,22
World (The Price of Love),New Order,Republic,8/23/93,9/11/93,13
Spooky,New Order,Republic,12/6/93,12/18/93,22
True Faith '94,New Order,The Best of New Order,11/7/94,11/19/94,9
1963,New Order,The Best of New Order,1/9/95,1/28/95,21
Blue Monday '95,New Order,The Rest of New Order,7/24/95,8/5/95,17
Video 5 8 6,New Order,Non-Album,9/22/97,10/4/97,81
Crystal,New Order,Get Ready,8/13/01,8/25/01,8
60 Miles an Hour,New Order,Get Ready,11/19/01,12/1/01,29
Here to Stay,New Order,Non-Album,4/15/02,4/27/02,15
World in Motion,New Order,Non-Album,6/8/02,6/15/02,43
Krafty,New Order,Waiting for the Sirens' Call,3/7/05,3/19/05,8
Jetstream,New Order,Waiting for the Sirens' Call,5/16/05,5/28/05,20
Waiting for the Sirens' Call,New Order,Waiting for the Sirens' Call,9/26/05,10/8/05,21
World in Motion,New Order,Non-Album,6/5/10,6/19/10,22
World in Motion,New Order,Non-Album,6/14/14,6/21/14,43
World in Motion,New Order,Non-Album,7/12/18,7/19/18,48
