Song,Artist,Album,Release Date,Peak Date,Peak Rank
Ceremony,New Order,Non-Album,3/6/81,6/5/81,61
Everything's Gone Green,New Order,Non-Album,12/1/81,3/5/82,64
Temptation,New Order,Non-Album,5/10/82,8/17/82,68
Blue Monday,New Order,Non-Album,3/7/83,5/13/83,5
Confusion,New Order,Non-Album,8/1/83,10/14/83,5
The Perfect Kiss,New Order,Low-Life,5/13/85,7/26/85,5
Sub-Culture,New Order,Low-Life,10/28/85,12/27/85,35
Shellshock,New Order,Non-Album,3/17/86,5/30/86,14
State of the Nation,New Order,Brotherhood,9/15/86,12/26/86,4
Bizarre Love Triangle,New Order,Brotherhood,11/3/86,12/26/86,4
True Faith,New Order,Substance,7/20/87,10/2/87,3
Touched by the Hand of God,New Order,Non-Album,12/7/87,4/29/88,1
Blue Monday '88,New Order,Non-Album,4/25/88,4/29/88,1
Fine Time,New Order,Technique,11/28/88,2/10/89,2
Round & Round,New Order,Technique,2/27/89,5/26/89,1
World in Motion,New Order,Non-Album,5/21/90,9/7/90,10
Regret,New Order,Republic,4/5/93,6/11/93,1
World (The Price of Love),New Order,Republic,8/23/93,9/24/93,1
Spooky,New Order,Republic,12/6/93,3/18/94,6
Crystal,New Order,Get Ready,8/13/01,10/9/01,1
Someone Like You,New Order,Get Ready,12/6/01,3/8/02,34
Krafty,New Order,Waiting for the Sirens' Call,3/7/05,6/24/05,2
Jetstream,New Order,Waiting for the Sirens' Call,5/16/05,9/9/05,3
