Artist,Album,Release Date,Peak Date,Peak Rank
New Order,Movement,11/13/81,11/28/81,30
New Order,"Power, Corruption & Lies",5/2/83,5/14/83,4
New Order,Low-Life,5/13/85,5/25/85,7
New Order,Brotherhood,9/29/86,10/11/86,9
New Order,Substance,8/17/87,8/29/87,3
New Order,Technique,1/30/89,2/11/89,1
New Order,BBC Radio 1 Live in Concert,2/10/92,2/22/92,33
New Order,Republic,5/3/93,5/15/93,1
New Order,The Best of New Order,11/21/94,12/3/94,4
New Order,The Rest of New Order,8/21/95,9/2/95,5
New Order,Get Ready,8/27/01,9/8/01,6
New Order,Waiting for the Sirens' Call,3/28/05,4/9/05,5
New Order,Singles,10/3/05,10/15/05,14
New Order,Total: From Joy Division to New Order,6/6/11,6/18/11,51
New Order,Lost Sirens,1/14/13,1/26/13,23
New Order,Music Complete,9/25/15,10/8/15,2
