Name,Tenure Start,Tenure End,Position
Bernard Sumner,6/1/80,8/29/93,Vocals/Guitar
Peter Hook,6/1/80,8/29/93,Bass
Stephen Morris,6/1/80,8/29/93,Drums
Gillian Gilbert,10/1/80,8/29/93,Keyboards
Bernard Sumner,7/1/98,5/1/07,Vocals/Guitar
Peter Hook,7/1/98,5/1/07,Bass
Stephen Morris,7/1/98,5/1/07,Drums
Gillian Gilbert,7/1/98,7/15/01,Keyboards
Phil Cunningham,7/15/01,5/1/07,Keyboards
Bernard Sumner,9/1/11,9/8/20,Vocals/Guitar
Stephen Morris,9/1/11,9/8/20,Drums
Gillian Gilbert,9/1/11,9/8/20,Keyboards
Phil Cunningham,9/1/11,9/8/20,Keyboards
Tom Chapman,9/1/11,9/8/20,Bass
