Artist,Album,Rank,,Release Date,Peak Date,
3 Doors Down,The Better Life,7,,2/8/00,9/2/00,
3 Doors Down,Away from the Sun,8,,11/12/02,11/29/02,
Alanis Morissette,Jagged Little Pill,1,,6/13/95,10/7/95,
Alice in Chains,Facelift,42,,8/21/90,7/6/91,
Alice in Chains,Dirt,6,,9/29/92,10/17/92,
Alice in Chains,Black Gives Way to Blue,5,,9/29/09,10/17/09,
Alice in Chains,Jar of Flies,1,,1/25/94,2/12/94,
Alice in Chains,Alice in Chains,1,,11/7/95,11/25/95,
Alice in Chains,MTV Unplugged,3,,7/30/96,8/16/96,
Audioslave,Audioslave,7,,11/19/02,12/7/02,
Better Than Ezra,Deluxe,35,,11/16/93,9/8/95,
Better Than Ezra,"Friction, Baby",64,,8/13/96,8/13/96,
Blind Melon,Blind Melon,3,53,9/22/92,9/22/92,
Blind Melon,Soup,28,48,8/15/95,8/15/95,
Bush,Sixteen Stone,4,,12/6/94,2/3/96,
Bush,Razorblade Suitcase,1,,11/19/96,12/7/96,
Bush,Deconstructed,36,,11/11/97,11/29/97,
Bush,The Science of Things,11,,10/26/99,11/13/99,
Bush,Golden State,22,,10/23/01,11/9/01,
Candlebox,Candlebox,7,,7/20/93,8/27/94,
Collective Soul,Hints Allegations and Things Left Unsaid,15,,6/22/93,7/22/94,
Collective Soul,Collective Soul,23,,3/14/95,7/28/95,
Collective Soul,Disciplined Breakdown,16,,3/11/97,3/28/97,
Collective Soul,Dosage,21,,2/9/99,2/26/99,
Collective Soul,Blender,22,,10/10/00,10/27/00,
Creed,My Own Prison,22,,8/26/97,5/2/98,
Creed,Human Clay,1,,9/28/99,10/16/99,
Creed,Weathered,1,,11/20/01,12/8/01,
Days of the New,Days of the New,54,,6/3/97,6/3/97,
Days of the New,Days of the New II,40,,8/31/99,8/31/99,
Default,The Fallout,51,,10/2/01,10/2/01,
Dishwalla,Pet Your Friends,89,,8/22/95,8/22/95,
Everclear,Sparkle and Fade,25,,5/23/95,3/30/96,
Everclear,So Much for the Afterglow,33,,10/7/97,10/25/97,
Everclear,Songs from an American Movie Vol. One: Learning How to Smile,9,,7/11/00,7/28/00,
Everclear,Songs from an American Movie Vol. Two: Good Time for a Bad Attitude,68,,11/21/00,12/8/00,
Fastball,All the Pain Money Can Buy,29,,3/10/98,6/13/98,
Foo Fighters,Foo Fighters,23,,7/4/95,7/22/95,
Foo Fighters,The Colour and the Shape,10,,5/20/97,6/7/97,
Foo Fighters,There Is Nothing Left to Lose,10,,11/2/99,11/20/99,
Foo Fighters,One by One,3,,10/22/02,11/9/02,
Foo Fighters,In Your Honor,2,,6/14/05,7/2/05,
Fuel,Sunburn,77,,3/31/98,7/31/98,
Fuel,Something Like Human,17,,9/19/00,10/6/00,
Fuel,Natural Selection,15,,9/23/03,10/10/03,
Hole,Live Through This,52,,4/12/94,1/28/95,
Hole,Celebrity Skin,9,,9/8/98,9/26/98,
L7,Bricks Are Heavy,160,,4/14/92,9/5/92,
L7,Hungry for Stink,117,26,7/12/94,7/29/94,
Lifehouse,No Name Face,6,,10/31/00,5/5/01,
Live,Throwing Copper,1,,4/26/94,5/6/95,
Live,Secret Samadhi,1,,2/18/97,3/8/97,
Live,The Distance to Here,4,,10/5/99,10/23/99,
Local H,As Good As Dead,147,,4/16/96,1/25/97,
Local H,Pack Up the Cats,140,,9/1/98,9/18/98,
Mad Season,Above,24,,3/14/95,3/14/95,
Marcy Playground,Marcy Playground,21,,2/25/97,4/4/98,
Matchbox Twenty,Yourself or Someone Like You,5,,10/1/96,9/6/97,
Matchbox Twenty,Mad Season,3,,5/23/00,6/10/00,
Matchbox Twenty,More Than You Think You Are,6,,11/19/02,12/6/02,
Mudhoney,Piece of Cake,189,,10/13/92,10/13/92,
Nickelback,Silver Side Up,2,,9/11/01,9/29/01,
Nickelback,The Long Road,6,,9/23/03,10/10/03,
Nickelback,All the Right Reasons,1,,10/4/05,10/21/05,
Nirvana,Bleach,89,,6/15/89,2/22/92,
Nirvana,Nevermind,1,,9/24/91,1/11/92,
Nirvana,Incesticide,39,,12/14/92,1/16/93,
Nirvana,In Utero,1,,9/21/93,10/9/93,
Nirvana,MTV Unplugged in New York,1,,11/1/94,11/19/94,
Nirvana,Nirvana,3,,10/29/02,11/16/02,
Pearl Jam,Ten,2,,8/27/91,8/21/92,
Pearl Jam,Vs.,1,,10/19/93,11/5/93,
Pearl Jam,Vitalogy,1,,12/6/94,12/23/94,
Pearl Jam,No Code,1,,8/27/96,9/13/96,
Pearl Jam,Yield,2,,2/3/98,2/20/98,
Pearl Jam,Binaural,2,,5/16/00,6/2/00,
Pearl Jam,Riot Act,5,,11/12/02,11/29/02,
Pearl Jam,Lost Dogs,15,,11/11/03,11/28/03,
Pearl Jam,Pearl Jam,2,,5/2/06,5/19/06,
Pearl Jam,Backspacer,1,,9/20/09,10/9/09,
Pearl Jam,Lightning Bolt,1,,10/11/13,11/1/13,
Puddle of Mudd,Life on Display,20,,11/25/03,12/12/03,
Radiohead,Pablo Honey,32,,2/22/93,8/7/93,
Screaming Trees,Sweet Oblivion,141,,9/8/92,2/20/93,
Screaming Trees,Dust,134,32,6/25/96,7/12/96,
Semisonic,Feeling Strangely Fine,43,,3/24/98,6/26/98,
Seven Mary Three,American Standard,24,,9/5/95,2/23/96,
Silverchair,Frogstomp,9,,3/27/95,9/22/95,
Silverchair,Freak Show,12,,2/4/97,2/21/97,
Silverchair,Neon Ballroom,50,,3/16/99,4/2/99,
Soundgarden,Louder Than Love,108,,9/5/89,3/10/90,
Soundgarden,Badmotorfinger,39,,10/8/91,2/29/92,
Soundgarden,Superunknown,1,,3/8/94,3/26/94,
Soundgarden,Down on the Upside,2,,5/12/96,6/8/96,
Spacehog,Resident Alien,49,,10/24/95,4/13/96,
Sponge,Rotting Piñata,58,,8/2/94,5/1/95,
Stone Temple Pilots,Core,3,,9/29/92,7/3/93,
Stone Temple Pilots,Purple,1,,6/7/94,6/25/94,
Stone Temple Pilots,Tiny Music… Songs from the Vatican Gift Shop,4,,3/26/96,4/13/96,
Stone Temple Pilots,No. 4,6,,10/26/99,11/13/99,
Stone Temple Pilots,Shangri-La Dee Da,9,,6/19/01,7/6/01,
Stone Temple Pilots,Thank You,26,,11/11/03,11/28/03,
Temple of the Dog,Temple of the Dog,5,,4/16/91,9/5/92,
The Calling,Camino Palmero,36,12,7/10/01,7/1/01,
The Presidents of the United States of America,The Presidents of the United States of America,6,,7/25/95,7/25/95,
The Presidents of the United States of America,II,31,,11/5/96,11/5/96,
The Smashing Pumpkins,Gish,146,,5/28/91,12/16/11,
Original Soundtrack,Singles: Original Motion Picture Soundtrack,6,,6/30/92,6/30/92,
The Smashing Pumpkins,Siamese Dream,10,,7/27/93,8/13/93,
The Smashing Pumpkins,Pisces Iscariot,4,,10/4/94,10/21/94,
The Smashing Pumpkins,Mellon Collie and the Infinite Sadness,1,,10/24/95,11/10/95,
The Smashing Pumpkins,Adore,2,,6/2/98,6/19/98,
The Smashing Pumpkins,Machina/The Machines of God,3,,2/29/00,3/17/00,
The Smashing Pumpkins,Zeitgeist,2,,7/10/07,7/27/07,
The Verve Pipe,Villains,24,,3/26/96,3/26/96,
Third Eye Blind,Third Eye Blind,25,,4/8/97,3/27/98,
Third Eye Blind,Blue,40,,11/23/99,12/10/99,
Toadies,Rubberneck,56,,8/23/94,10/13/95,
Tonic,Lemon Parade,28,,7/16/96,8/1/97,
Tonic,Sugar,81,,11/9/99,11/26/99,
Velvet Revolver,Contraband,1,,6/8/04,6/26/04,
Veruca Salt,American Thighs,69,,9/27/94,1/27/95,
Veruca Salt,Eight Arms to Hold You,55,,2/11/97,2/28/97,
Zwan,Mary Star of the Sea,3,,1/28/03,2/14/03,
